RUB	Российский рубль
AUD	Австралийский доллар
AZN	Азербайджанский манат
BYN	Белорусский рубль
BGN	Болгарский Лев
BRL	Бразильский реал
HUF	Форинт
KRW	Вона
HKD	Гонконгский доллар
DKK	Датская крона
USD	Доллар США
EUR	Евро
INR	Индийская рупия
KZT	Тенге
CAD	Канадский доллар
KGS	Сом
CNY	Юань жэньминьби
MDL	Молдавский лей
TMT	Новый туркменский манат
NOK	Норвежская крона
PLN	Злотый
RON	Лей
SGD	Сингапурский доллар
TJS	Сомони
TRY	Турецкая лира
UZS	Узбекский сум
UAH	Гривна
GBP	Фунт стерлингов
CZK	Чешская крона
SEK	Шведская крона
CHF	Швейцарский франк
ZAR	Рэнд
JPY	Иена
XDR	СДР (специальные права заимствования)
